2025-08-17T11:37:03.170Z [INFO] [ChatRoutes] 聊天路由初始化完成 
2025-08-17T11:37:03.179Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430623179_kroug3eh1","method":"GET","url":"/api/chat/health","ip":"::ffff:127.0.0.1"}
2025-08-17T11:37:03.182Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430623179_kroug3eh1","method":"GET","url":"/api/chat/health","statusCode":200,"duration":"3ms","contentLength":"171"}
2025-08-17T11:37:03.706Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430623706_58alc8uut","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:37:36.135Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430623706_58alc8uut","method":"POST","url":"/api/chat/message","statusCode":500,"duration":"32429ms","contentLength":"203"}
2025-08-17T11:37:36.643Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430656643_dvlde1efa","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:37:36.644Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430656643_dvlde1efa","method":"POST","url":"/api/chat/message","statusCode":400,"duration":"1ms","contentLength":"109"}
2025-08-17T11:37:36.646Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430656646_5s69xs3ts","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:37:36.647Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430656646_5s69xs3ts","method":"POST","url":"/api/chat/message","statusCode":400,"duration":"1ms","contentLength":"109"}
2025-08-17T11:37:36.648Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430656648_3rcmdghap","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
2025-08-17T11:37:36.649Z [INFO] [ChatRoutes] API请求完成 {"requestId":"req_1755430656648_3rcmdghap","method":"POST","url":"/api/chat/message","statusCode":400,"duration":"1ms","contentLength":"109"}
2025-08-17T11:37:36.651Z [INFO] [ChatRoutes] API请求开始 {"requestId":"req_1755430656650_x21eu5l8e","method":"POST","url":"/api/chat/message","ip":"::ffff:127.0.0.1","contentType":"application/json"}
