2025-08-17T11:16:02.014Z [INFO] [IntentRecognition] 意图识别服务初始化完成 
2025-08-17T11:16:02.017Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_0","userInput":"你好"}
2025-08-17T11:16:03.549Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_0","intentType":"normal_chat","confidence":0.95,"processingTime":"1532ms"}
2025-08-17T11:16:03.751Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1","userInput":"今天天气真不错"}
2025-08-17T11:16:05.078Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1","intentType":"normal_chat","confidence":0.9,"processingTime":"1327ms"}
2025-08-17T11:16:05.280Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_2","userInput":"我感觉有点累"}
2025-08-17T11:16:07.554Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_2","intentType":"normal_chat","confidence":0.95,"processingTime":"2274ms"}
2025-08-17T11:16:07.756Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_3","userInput":"你能陪我聊聊天吗"}
2025-08-17T11:16:09.455Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_3","intentType":"normal_chat","confidence":0.95,"processingTime":"1699ms"}
2025-08-17T11:16:09.656Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_4","userInput":"最近工作压力好大"}
2025-08-17T11:16:11.669Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_4","intentType":"normal_chat","confidence":0.95,"processingTime":"2013ms"}
2025-08-17T11:16:11.871Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_5","userInput":"谢谢你的帮助"}
2025-08-17T11:16:13.385Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_5","intentType":"normal_chat","confidence":0.95,"processingTime":"1514ms"}
2025-08-17T11:16:13.587Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_6","userInput":"我心情不太好"}
2025-08-17T11:16:14.672Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_6","intentType":"normal_chat","confidence":0.95,"processingTime":"1085ms"}
2025-08-17T11:16:14.874Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_7","userInput":"你觉得这个想法怎么样？"}
2025-08-17T11:16:16.924Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_7","intentType":"normal_chat","confidence":0.9,"processingTime":"2050ms"}
2025-08-17T11:16:17.125Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_0","userInput":"帮我添加一个任务"}
2025-08-17T11:16:18.538Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_0","intentType":"task_creation","confidence":0.95,"processingTime":"1413ms"}
2025-08-17T11:16:18.740Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1","userInput":"我要创建一个新的待办事项"}
2025-08-17T11:16:20.095Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1","intentType":"task_creation","confidence":0.95,"processingTime":"1355ms"}
2025-08-17T11:16:20.296Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_2","userInput":"提醒我明天下午开会"}
2025-08-17T11:16:21.881Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_2","intentType":"task_creation","confidence":0.95,"processingTime":"1585ms"}
2025-08-17T11:16:22.084Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_3","userInput":"新建任务：买菜"}
2025-08-17T11:16:23.691Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_3","intentType":"task_creation","confidence":0.95,"processingTime":"1607ms"}
2025-08-17T11:16:23.893Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_4","userInput":"我需要设置一个提醒"}
2025-08-17T11:16:25.208Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_4","intentType":"task_creation","confidence":0.95,"processingTime":"1315ms"}
2025-08-17T11:16:25.410Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_5","userInput":"添加待办：取快递"}
2025-08-17T11:16:27.080Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_5","intentType":"task_creation","confidence":0.95,"processingTime":"1670ms"}
2025-08-17T11:16:27.283Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_6","userInput":"创建任务：写报告"}
2025-08-17T11:16:28.994Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_6","intentType":"task_creation","confidence":0.95,"processingTime":"1711ms"}
2025-08-17T11:16:29.196Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_7","userInput":"帮我记录一下要做的事情"}
2025-08-17T11:16:30.373Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_7","intentType":"task_creation","confidence":0.95,"processingTime":"1177ms"}
2025-08-17T11:16:30.575Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_0","userInput":"我今天有什么安排？"}
2025-08-17T11:16:31.979Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_0","intentType":"time_scheduling","confidence":0.95,"processingTime":"1404ms"}
2025-08-17T11:16:32.181Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1","userInput":"明天几点有会议？"}
2025-08-17T11:16:33.356Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1","intentType":"time_scheduling","confidence":0.95,"processingTime":"1175ms"}
2025-08-17T11:16:33.557Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_2","userInput":"这周的日程怎么样？"}
2025-08-17T11:16:35.149Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_2","intentType":"time_scheduling","confidence":0.95,"processingTime":"1592ms"}
2025-08-17T11:16:35.351Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_3","userInput":"帮我看看下午的时间安排"}
2025-08-17T11:16:36.632Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_3","intentType":"time_scheduling","confidence":0.95,"processingTime":"1280ms"}
2025-08-17T11:16:36.833Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_4","userInput":"我什么时候有空？"}
2025-08-17T11:16:47.496Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_4","intentType":"time_scheduling","confidence":0.95,"processingTime":"10663ms"}
2025-08-17T11:16:47.697Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_5","userInput":"查看我的日程表"}
2025-08-17T11:16:51.035Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_5","intentType":"time_scheduling","confidence":0.95,"processingTime":"3338ms"}
2025-08-17T11:16:51.236Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_6","userInput":"今天还有什么任务要完成？"}
2025-08-17T11:16:52.542Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_6","intentType":"time_scheduling","confidence":0.85,"processingTime":"1306ms"}
2025-08-17T11:16:52.743Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_7","userInput":"下周一有什么计划？"}
2025-08-17T11:16:53.895Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_7","intentType":"time_scheduling","confidence":0.95,"processingTime":"1152ms"}
2025-08-17T11:16:54.097Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_0","userInput":"北京今天天气怎么样？"}
2025-08-17T11:16:55.929Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_0","intentType":"external_tool","confidence":0.95,"processingTime":"1832ms"}
2025-08-17T11:16:56.130Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_1","userInput":"帮我查一下从家到公司的路线"}
2025-08-17T11:16:57.432Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_1","intentType":"external_tool","confidence":0.95,"processingTime":"1302ms"}
2025-08-17T11:16:57.634Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_2","userInput":"最近的加油站在哪里？"}
2025-08-17T11:16:59.959Z [INFO] [IntentRecognition] 意图识别完成 {"userId":"test_user_2","intentType":"external_tool","confidence":0.95,"processingTime":"2325ms"}
2025-08-17T11:17:00.161Z [INFO] [IntentRecognition] 开始意图识别 {"userId":"test_user_3","userInput":"我要去天安门广场怎么走？"}
